시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,"서울특별시 양천구 오목로 148-343 01호 (신정동, 오성이지빌)",Latitude,Longitude,정원(수용인원),현인원
가브리엘의집,C1921,(장애인) 중증장애인거주시설,장애인거주시설,자치구,김정희,1117000000,용산구,서울특별시 용산구 후암로35길 22-23(후암동),37.550759,126.9755132,29,29
동천일리하우스,C1930,(장애인) 중증장애인거주시설,장애인거주시설,자치구,이혜순,1135000000,노원구,서울특별시 노원구 노원로18길 41(하계1동),37.6444026,127.0733277,60,39
우리집,C1993,(장애인) 장애인단기거주시설,장애인거주시설,자치구,원순주,1150000000,강서구,서울특별시 강서구 양천로47길 70-6,37.5733596,126.8375417,10,10
나눔공동체,C2033,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김한덕,1150000000,강서구,서울특별시 강서구 등촌로13바길 59,37.5353336,126.8568033,4,4
선린원,C2034,(장애인) 장애인단기거주시설,장애인거주시설,자치구,장흥섭,1150000000,강서구,서울특별시 강서구 까치산로22길 35-5,37.5486028,126.852947,10,10
잔디네집,C2042,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정경주,1144000000,마포구,서울특별시 마포구 월드컵로 190-0604호 (이안상암2차오피스텔),37.5641963,126.9032758,4,2
푸른터,C2043,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정원택,1150000000,강서구,서울특별시 강서구 초록마을로26길 35-8,37.5390423,126.8494195,4,4
푸른터2호,C2044,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정원택,1150000000,강서구,서울특별시 강서구 화곡로13길 20-9201호,37.5408564,126.8336006,4,4
푸른터3호,C2045,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정원택,1150000000,강서구,서울특별시 강서구 허준로5길 37B동 3층 (가양동)(가양동),37.5685492,126.8514826,4,4
강서희망의집,C2057,(장애인) 장애인단기거주시설,장애인거주시설,자치구,유주경,1150000000,강서구,서울특별시 강서구 강서로34길 36,37.5433356,126.8414972,10,10
다복스위트홈,C2068,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김인숙,1135000000,노원구,서울특별시 노원구 상계로5길 22-9402호,37.6573558,127.0631897,4,4
마라제4공동생활가정,C2069,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이영민,1171000000,송파구,서울특별시 송파구 마천로39길 35401호,37.4992331,127.1487025,4,4
화곡성모공동생활가정,C2087,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이철우,1150000000,강서구,"서울특별시 강서구 초록마을로24길 7-8B동 502호 (화곡동, 태영팰리스)",37.5385486,126.8512143,4,4
헬렌의집장애인단기보호시설,C2096,(장애인) 장애인단기거주시설,장애인거주시설,자치구,백미정,1153000000,구로구,서울특별시 구로구 구로중앙로27나길 18,37.4968719,126.8849881,12,11
로사리아공동생활가정,C2098,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이철우,1150000000,강서구,"서울특별시 강서구 초록마을로24길 7-8B동 202호 (화곡동, 태영팰리스)",37.5385486,126.8512143,4,4
꿈손단기거주시설,C2102,(장애인) 장애인단기거주시설,장애인거주시설,자치구,박상호,1130500000,강북구,서울특별시 강북구 인수봉로61길12-4,37.6385449,127.012855,10,12
샬롬의 집,C2135,(장애인) 장애유형별거주시설,장애인거주시설,자치구,박기순,1150000000,강서구,서울특별시 강서구 방화대로7가길 11,37.5568937,126.8156968,20,15
디딤돌공동생활가정,C2183,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이득남,1132000000,도봉구,"서울특별시 도봉구 우이천로 446-11501호(쌍문동, 해밀하우스)",37.6533557,127.0271003,4,3
신망애공동생활가정,C2197,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이춘식,1168000000,강남구,서울특별시 강남구 도산대로50길 33-3401호 (논현동),37.5202005,127.0377785,4,4
서로함께공동생활가정,C2198,(장애인) 장애인공동생활가정,장애인거주시설,자치구,박동하,1168000000,강남구,서울특별시 강남구 선릉로146길 27-4204호 (청담동),37.5199691,127.0456266,4,4
마로니에공동생활가정,C2201,(장애인) 장애인공동생활가정,장애인거주시설,자치구,최금난,1111000000,종로구,서울특별시 종로구 혜화로12길 20-10101호,37.5896445,127.0002847,4,3
성민그룹홈,C2226,(장애인) 장애인공동생활가정,장애인거주시설,자치구,고유경,1132000000,도봉구,서울특별시 도봉구 우이천로47길 10601호 (쌍문동),37.6550114,127.0151357,4,4
다니엘의집4호,C2241,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김상호,1168000000,강남구,서울특별시 강남구 도산대로4길 18-6401호 (논현동),37.5152815,127.0212903,4,4
행복한 집,C2274,(장애인) 장애인공동생활가정,장애인거주시설,자치구,한옥희,1144000000,마포구,서울특별시 마포구 성미산로 165-5,37.5649115,126.9245504,9,3
라파엘의집,C6727,(장애인) 장애인단기거주시설,장애인거주시설,자치구,황주연,1111000000,종로구,서울특별시 종로구 필운대로2길 16 (체부동),37.5788306,126.9697969,17,10
다운인의 집,C6851,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김인숙,1135000000,노원구,서울특별시 노원구 노원로1길 21902동 1102호,37.6213618,127.0837525,4,4
장애인공동생활가정다움이네집,C6853,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이항묵,1159000000,동작구,서울특별시 동작구 양녕로22마길 90-02층,37.4990433,126.9468295,4,3
사랑의가족,C6909,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황명현,1165000000,서초구,서울특별시 서초구 사임당로20길 16-0A동201호,37.489255,127.0210719,4,4
사랑의그룹홈,C6911,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황명현,1165000000,서초구,서울특별시 서초구 효령로23길 61501호,37.4825806,126.9931144,4,4
성북그룹홈1호,C6939,(장애인) 장애인공동생활가정,장애인거주시설,자치구,신운화,1129000000,성북구,서울특별시 성북구 개운사길 60-39성북그룹홈1호,37.5902099,127.0302437,4,3
성북그룹홈2호,C6940,(장애인) 장애인공동생활가정,장애인거주시설,자치구,신운화,1129000000,성북구,"서울특별시 성북구 보국문로6길 5-11102호 (정릉동, 삼우빌라)",37.6065689,127.0117387,4,3
사랑손공동생활가정소라네,C6945,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이혜옥,1159000000,동작구,"서울특별시 동작구 대방동2길 36502호 (대방동, 신건드림원아파트)",37.5018845,126.9279276,4,4
아름다운집,C6983,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김인숙,1135000000,노원구,서울특별시 노원구 공릉로62길 8풍진빌라 B동 302호,37.6355627,127.0721731,4,3
아이비해솔그룹홈,C6986,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이주희,1174000000,강동구,서울특별시 강동구 양재대로110길 15-5301호,37.5355466,127.1402429,4,4
아이비한울그룹홈,C6987,(장애인) 장애인공동생활가정,장애인거주시설,자치구,박지일,1174000000,강동구,서울특별시 강동구 양재대로124길 67-143층,37.5424564,127.1459012,4,3
아이비잎새그룹홈,C6988,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이희영,1174000000,강동구,서울특별시 강동구 양재대로135길 5-1101호,37.5485624,127.1431323,4,3
사랑손공동생활가정연희네,C7008,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이혜옥,1159000000,동작구,"서울특별시 동작구 국사봉길 178102동 706호 (상도동, 상도1차 갑을명가아파트)",37.4961535,126.9317346,4,3
임마누엘관악1공동체공동생활가정,C7037,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1162000000,관악구,서울특별시 관악구 조원중앙로 44-32층,37.4830136,126.9071874,4,4
임마누엘등촌공동체,C7039,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1150000000,강서구,"서울특별시 강서구 공항대로39길 74502-902 (등촌동, 등촌5단지주공아파트)",37.5611627,126.844513,4,4
임마누엘영등포공동체,C7040,(장애인) 장애인공동생활가정,장애인거주시설,자치구,장동국,1156000000,영등포구,서울특별시 영등포구 영신로8길 9201호 (영등포동),37.5124755,126.9095646,4,3
충현의집1호,C7108,(장애인) 장애인공동생활가정,장애인거주시설,자치구,강태인,1168000000,강남구,"서울특별시 강남구 삼성로57길 33-1202호 (대치동, 리치빌)(대치동, 리치빌)",37.4973341,127.0583675,1,1
충현의집2호,C7109,(장애인) 장애인공동생활가정,장애인거주시설,자치구,강태인,1168000000,강남구,서울특별시 강남구 학동로42길 55-10401호 (논현동)(논현동),37.5119801,127.0375601,1,1
충현의집3호,C7110,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이창희,1165000000,서초구,서울특별시 서초구 동산로12길 20301호,37.4707485,127.0462722,4,4
충현의집4호,C7111,(장애인) 장애인공동생활가정,장애인거주시설,자치구,강태인,1168000000,강남구,서울특별시 강남구 선릉로146길 27-4302호 (청담동)(청담동),37.5199691,127.0456266,1,1
충현의집5호,C7112,(장애인) 장애인공동생활가정,장애인거주시설,자치구,강태인,1168000000,강남구,서울특별시 강남구 삼성로147길 16-10401호 (청담동)(청담동),37.5213939,127.046505,1,1
충현의집6호,C7113,(장애인) 장애인공동생활가정,장애인거주시설,자치구,강태인,1168000000,강남구,서울특별시 강남구 삼성로67길 8-7401호 (대치동)(대치동),37.5012483,127.0588352,1,1
한마음1호공동생활가정,C7153,(장애인) 장애인공동생활가정,장애인거주시설,자치구,강수민,1138000000,은평구,서울특별시 은평구 통일로89길 5-73층,37.6245104,126.9190389,4,4
계명원,C7752,(장애인) 장애인단기거주시설,장애인거주시설,자치구,문종만,1144000000,마포구,서울특별시 마포구 동교로 55-10망원동,37.5537239,126.9084,10,10
열린마음하나,C7761,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이연옥,1150000000,강서구,서울특별시 강서구 초록마을로16길 20201호,37.5411621,126.8497133,4,4
삼성그룹홈1호,C7783,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이항묵,1159000000,동작구,서울특별시 동작구 양녕로22마길 90-03층,37.4990433,126.9468295,4,4
실로암 효명의 집,C7820,(장애인) 중증장애인거주시설,장애인거주시설,자치구,김무경,1162000000,관악구,경기도 양주시 쇠장이길 656(관악구),37.7955535,126.9228605,30,28
드림하우스,C7823,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김경환,1147000000,양천구,서울특별시 양천구 곰달래로10길 19-1301호 (신월동),37.5284125,126.8372329,4,2
사랑나눔강동,C7835,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이득남,1174000000,강동구,서울특별시 강동구 양재대로112길 86401호,37.536348,127.1424691,4,4
위드그룹홈,C7854,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영희,1138000000,은평구,서울특별시 은평구 갈현로15길 11-13302호 (구산동),37.6075098,126.9095089,4,4
교남시냇가,C7901,(장애인) 중증장애인거주시설,장애인거주시설,자치구,황규인,1150000000,강서구,경기 파주시 적성면어못내길 94-42,37.9983943,126.9884138,30,28
작은숨골공동생활가정,C7919,(장애인) 장애인공동생활가정,장애인거주시설,자치구,심석보,1141000000,서대문구,서울특별시 서대문구 연희로41가길 103-7.,37.5936891,126.9336853,4,4
논현제2공동생활가정,C7958,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김한덕,1168000000,강남구,서울특별시 강남구 논현로113길 38-1301호 (논현동),37.5150489,127.0280082,4,4
포도원복지센터,C7973,(장애인) 장애인단기거주시설,장애인거주시설,자치구,박순자,1138000000,은평구,서울특별시 은평구 갈현로41길 48,37.6263429,126.9131673,10,12
소망의집,C8000,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김주은,1171000000,송파구,서울특별시 송파구 백제고분로 32길 32-1201호,37.4996613,127.0946103,4,4
사랑의집,C8001,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김보경,1171000000,송파구,서울특별시 송파구 오금로64나길 11-1301호,37.4917948,127.1485913,4,4
희망을긷는샘,C8007,(장애인) 장애인공동생활가정,장애인거주시설,자치구,박준석,1130500000,강북구,서울특별시 강북구 삼양로163길 31-5101호,37.6586504,127.011938,4,3
내일을 꿈꾸는 사람들,C8008,(장애인) 장애인공동생활가정,장애인거주시설,자치구,임종혁,1135000000,노원구,서울특별시 노원구 동일로237바길 11-8101호(상계동),37.6740962,127.050221,3,3
로뎀하우스,C8028,(장애인) 장애인단기거주시설,장애인거주시설,자치구,이우형,1150000000,강서구,서울특별시 강서구 공항대로45가길 29102동 201호 (등촌동),37.556533,126.8539569,10,11
다솜센터(시립서대문장애인단기보호센터),C8071,(장애인) 장애인단기거주시설,장애인거주시설,자치구,김선경,1141000000,서대문구,서울특별시 서대문구 증가로4길 58-16(홍은동),37.5773744,126.9285115,10,10
시립중랑장애인단기거주시설 행복누리,C8078,(장애인) 장애인단기거주시설,장애인거주시설,자치구,고희윤,1126000000,중랑구,서울특별시 중랑구 겸재로61길 81(망우동),37.5937737,127.094418,10,11
갑을충의장애인공동생활가정,C8093,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정보근,1162000000,관악구,서울특별시 관악구 난우16길 13-3 (신림동),37.4775734,126.9176952,4,4
해누리하우스,C8130,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김경환,1147000000,양천구,서울특별시 양천구 곰달래로3길 24-12201호 (신월동),37.5318611,126.8332611,4,3
사랑나눔송파,C8166,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이득남,1171000000,송파구,서울특별시 송파구 성내천로42길 11301호 (마천동),37.4961958,127.1530803,4,4
유일장애인공동생활가정,C8176,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김재은,1132000000,도봉구,"서울특별시 도봉구 도봉로133길 14A동 301호 (쌍문동, 성원하이츠아파트)",37.6575525,127.0388777,4,4
한다솜장애인공동생활가정,C8183,(장애인) 장애인공동생활가정,장애인거주시설,자치구,나기원,1174000000,강동구,서울특별시 강동구 아리수로74길 31-0201호,37.5613625,127.1609403,4,4
프란치스코의집 단기거주시설,C8188,(장애인) 장애인단기거주시설,장애인거주시설,자치구,이영미,1130500000,강북구,서울특별시 강북구 노해로23길 88-18 (수유동),37.6472488,127.0194886,12,10
구립서대문장애인공동생활가정,C8213,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정혜선,1141000000,서대문구,서울특별시 서대문구 연희로41나길 5-6202호 (홍은동),37.5921736,126.9335753,4,4
군자작은예수의집,C8235,(장애인) 장애인단기거주시설,장애인거주시설,자치구,최순자,1121500000,광진구,서울특별시 광진구 자양로35길 7-7군자작은예수의집 (구의동),37.546743,127.0866099,10,10
센터봄,C8260,(장애인) 장애인단기거주시설,장애인거주시설,자치구,이혜린,1174000000,강동구,"서울특별시 강동구 천호대로1210, 4층 (둔촌동)",37.5348992,127.145747,10,10
동천하우스6,C8266,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영문,1135000000,노원구,서울특별시 노원구 한글비석로50길 12301호,37.6650159,127.0667869,4,4
덕유린장애인단기보호센터,C8294,(장애인) 장애인단기거주시설,장애인거주시설,자치구,최선미,1111000000,종로구,서울특별시 종로구 지봉로12가길 49101호 (숭인동)(숭인동),37.5757145,127.0168181,10,10
성산푸른초장단기보호시설,C8304,(장애인) 장애인단기거주시설,장애인거주시설,자치구,홍금화,1150000000,강서구,서울특별시 강서구 양천로30길 142층,37.5696216,126.8230386,10,12
보라향그룹홈,C8306,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영희,1138000000,은평구,서울특별시 은평구 갈현로15길 11-13301호 (구산동),37.6075098,126.9095089,4,4
열린마음,C8318,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이연옥,1150000000,강서구,"서울특별시 강서구 초록마을로34길61, 201호 (화곡동)",37.5384209,126.8449795,4,4
내일을꿈꾸는사람들2호,C8377,(장애인) 장애인공동생활가정,장애인거주시설,자치구,임종혁,1135000000,노원구,"서울특별시 노원구 동일로237다길 37201호 (상계동, 풀래음파크빌)",37.6750383,127.0526913,3,4
너나울공동생활가정,C8401,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정선숙,1130500000,강북구,"서울특별시 강북구 인수봉로60가길 24-7201호 (수유동, 다우빌라)",37.6366701,127.0149976,4,4
늘푸른집,C8420,(장애인) 장애인단기거주시설,장애인거주시설,자치구,임혜숙,1150000000,강서구,서울특별시 강서구 금낭화로26가길 1301층 ,37.5675602,126.8119132,10,10
강남 행복의집,C8539,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영배,1168000000,강남구,"서울특별시 강남구 논현로117길 12-4401호 (논현동, 현대로얄빌라)",37.5166923,127.0235229,4,4
강동행복의집,C8541,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영배,1174000000,강동구,"서울특별시 강동구 양재대로135길5-1, 301호 (천호동)",37.5484045,127.1431198,4,4
도봉단기보호시설,C8542,(장애인) 장애인단기거주시설,장애인거주시설,자치구,김정석,1132000000,도봉구,서울특별시 도봉구 마들로 7091층 (도봉동),37.6670867,127.0491669,10,11
베데스다의집함께하네,C8558,(장애인) 장애인공동생활가정,장애인거주시설,자치구,심희남,1132000000,도봉구,서울특별시 도봉구 방학동 686-1251 (방학동),37.6650698,127.0393473,4,4
소망그룹홈4,C8572,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김윤례,1168000000,강남구,서울특별시 강남구 언주로159길 21102호 (신사동),37.5244506,127.0315043,4,4
소망그룹홈3,C8573,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김윤례,1168000000,강남구,서울특별시 강남구 언주로159길 21101호 (신사동),37.5244506,127.0315043,4,4
소망그룹홈2,C8574,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김윤례,1168000000,강남구,서울특별시 강남구 언주로157길 22가동 2층 2호 (신사동),37.5240821,127.0310631,4,4
루치아 공동생활가정,C8585,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김경수,1144000000,마포구,"서울특별시 마포구 마포대로4라길41, 201호 (마포동, 마포더힐)",37.5366175,126.9459851,4,4
맑은샘장애인단기거주시설,C8620,(장애인) 장애인단기거주시설,장애인거주시설,자치구,김원수,1147000000,양천구,"서울특별시 양천구 신월로192, 202호 (신월동)",37.519563,126.8442799,10,10
여호와닛시의집,C8627,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정영자,1150000000,강서구,서울특별시 강서구 방화동로5길38-7 (방화동),37.5649438,126.8106411,4,3
H2빌,C8644,(장애인) 중증장애인거주시설,장애인거주시설,자치구,김은숙,1150000000,강서구,서울특별시 강서구 금낭화로26가길 130-0,37.5843473,126.811404,30,30
행복플러스 단기보호시설,C8689,(장애인) 장애인단기거주시설,장애인거주시설,자치구,이병권,1129000000,성북구,서울특별시 성북구 화랑로134 (하월곡동),37.6090745,127.0311789,15,15
비움,C8692,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이경미,1171000000,송파구,서울특별시 송파구 삼전로3길3-25 (잠실동),37.5017019,127.084144,4,3
하늘마음,C8713,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김경일,1114000000,중구,서울특별시 중구 동호로11나길 35202호 (신당동),37.552556,127.0060705,4,4
오뚜기하우스,C8717,(장애인) 장애인공동생활가정,장애인거주시설,자치구,송주혜,1153000000,구로구,"서울특별시 구로구 부일로871-16 871-16, 101동 202호, 302호",37.4932067,126.8233991,6,6
동천하우스7,C8729,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영문,1132000000,도봉구,"서울특별시 도봉구 시루봉로17길47, 202호 (방학동)",37.6691403,127.0322563,4,3
동천하우스8,C8730,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김영문,1132000000,도봉구,"서울특별시 도봉구 시루봉로17길47, 502호 (방학동)",37.6691403,127.0322563,4,3
성모자애단기거주시설미리암의집,C8806,(장애인) 장애인단기거주시설,장애인거주시설,자치구,서지숙,1168000000,강남구,서울특별시 강남구 헌릉로757길 35 (율현동),37.4700435,127.1194761,15,15
예수성심우리엄마네,C8863,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이성우,1130500000,강북구,서울특별시 강북구 삼양로123길 14-19 (수유동),37.6455331,127.0142246,4,4
다니엘의집5호,C8867,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김상호,1165000000,서초구,"서울특별시 서초구 동산로12길 20203호 (양재동, 동은빌라)",37.4707485,127.0462722,4,4
논현제3공동생활가정,C8875,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김한덕,1168000000,강남구,서울특별시 강남구 학동로18길 23-1302호 (논현동),37.5114204,127.027775,4,4
최종병기공동생활가정,C8904,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정혜선,1141000000,서대문구,서울특별시 서대문구 연희로41가길 103-13201호(홍은동),37.5938372,126.9337084,4,3
위투게더,C8907,(장애인) 장애인단기거주시설,장애인거주시설,자치구,한선화,1171000000,송파구,서울특별시 송파구 성내천로 239 (마천동),37.4991325,127.1543678,10,10
소망그룹홈1,C8939,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김윤례,1168000000,강남구,서울특별시 강남구 언주로157길 22영빈빌라 가동 (신사동) 1호,37.5240821,127.0310631,4,4
하이드림,C8948,(장애인) 장애인공동생활가정,장애인거주시설,자치구,조순복,1153000000,구로구,"서울특별시 구로구 고척로21다길34-7, 501호 (개봉동, 리움하우스)",37.5034729,126.8432791,4,4
행복단기보호시설,C8951,(장애인) 장애인단기거주시설,장애인거주시설,자치구,임주영,1171000000,송파구,"서울특별시 송파구 성내천로 271, 2층 (마천동)",37.4963066,127.1544746,10,10
교남공동생활가정2호,C9000,(장애인) 장애인공동생활가정,장애인거주시설,자치구,황규인,1150000000,강서구,"서울특별시 강서구 초록마을로19길 12, 301호 (화곡동)",37.5405457,126.8518656,4,4
다산하늘센터,C9096,(장애인) 중증장애인거주시설,장애인거주시설,자치구,정현우,1171000000,송파구,경기도 여주시 강천면 섬강로229-1(강천리 91-2),37.2426401,127.7399236,30,30
강남세움단기보호센터,C9101,(장애인) 장애인단기거주시설,장애인거주시설,자치구,최삼열,1168000000,강남구,"서울특별시 강남구 광평로60길 222층 (수서동, 강남구직업재활센터)",37.4870347,127.1067912,10,10
"효정1호,효정2호 공동생활가정",C9136,(장애인) 장애인공동생활가정,장애인거주시설,자치구,류경화,1130500000,강북구,서울특별시 강북구 삼양로69길 423층 (수유동),37.6281006,127.0165493,8,6
행복이가득한집 2호,C9181,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김세룡,1150000000,강서구,"서울특별시 강서구 월정로18길 20, 401호 (화곡동)",37.529193,126.8398955,3,3
참사랑공동생활가정,C9195,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정선숙,1130500000,강북구,서울특별시 강북구 한천로144길 27 (수유동),37.6422498,127.0261705,4,4
사랑단기보호센터,C9265,(장애인) 장애인단기거주시설,장애인거주시설,자치구,황명현,1159000000,동작구,"서울특별시 동작구 남부순환로255길 8-0 (사당동, 장미빌라)8, 201호 (사당동, 장미빌라 201호)",37.4764869,126.9712237,15,12
해피하우스,C9277,(장애인) 장애인단기거주시설,장애인거주시설,자치구,강은출,1171000000,송파구,서울특별시 송파구 오금로 548 (거여동),37.4917626,127.1482032,10,8
헬렌켈러의집 2호,C9280,(장애인) 장애인공동생활가정,장애인거주시설,자치구,윤미진,1130500000,강북구,"서울특별시 강북구 삼양로91가길 8-0 (수유동, JS홈타운)8, 2동 201호 (수유동, JS홈타운)",37.6365179,127.0158309,4,4
우리그룹홈,C9345,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김숙정,1171000000,송파구,"서울특별시 송파구 거마로3길 5, 가동 102호 (거여동, 대진아트빌라)",37.4940621,127.1438022,4,4
주은공동생활가정,C9405,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김명희,1150000000,강서구,"서울특별시 강서구 강서로5라길 138, 2층 (화곡동)",37.5300728,126.8560454,4,3
은하수,C9412,(장애인) 장애인공동생활가정,장애인거주시설,자치구,박옥종,1153000000,구로구,"서울특별시 구로구 고척로52마길 21-11, 1층 (개봉동)",37.5004447,126.8543894,4,4
행복한 사람들의 집,C9452,(장애인) 장애인공동생활가정,장애인거주시설,자치구,이현영,1130500000,강북구,서울특별시 강북구 삼양로173가길 22 (우이동),37.6622302,127.0112632,10,7
해피드림,C9516,(장애인) 장애인공동생활가정,장애인거주시설,자치구,조순복,1147000000,양천구,"서울특별시 양천구 월정로 22, 401호 (신월동)",37.5218924,126.8435127,4,4
주사랑 장애인단기보호센터,C9562,(장애인) 장애인단기거주시설,장애인거주시설,자치구,정주영,1154500000,금천구,"서울특별시 금천구 독산로 165-1, 1층, 3층 (시흥동)",37.4620612,126.9042554,10,10
기쁨이꽃피는나무,C9596,(장애인) 장애인공동생활가정,장애인거주시설,자치구,정은미,1154500000,금천구,"서울특별시 금천구 시흥대로80길 19-11, 2층 (독산동)",37.4594456,126.9009649,4,4
아해하제공동생활가정,C9604,(장애인) 장애인공동생활가정,장애인거주시설,자치구,최경민,1168000000,강남구,"서울특별시 강남구 헌릉로569길 46-6, 1층 (세곡동)",37.467673,127.096743,4,
행복이가득한집2호,F04657,(장애인) 장애인공동생활가정,장애인거주시설,자치구,김세룡,1100000000,서울특별시,서울특별시 강서구 월정로18길 20401 (화곡동)(화곡동),37.5292315,126.8401058,,
한아름,F14024,(장애인) 장애인단기거주시설,장애인거주시설,자치구,조봉순,1174000000,강동구,서울특별시 강동구 고덕로 295-45가동 3층 (고덕동)(고덕동),37.5576717,127.158743,10,
민들레울,F14026,(장애인) 장애인공동생활가정,장애인거주시설,자치구,송혜정,1138000000,은평구,"서울특별시 은평구 갈현로11길 46101동 303호 (구산동, 경남 아너스빌)(구산동, 경남 아너스빌)",37.5989652,126.9099952,8,8
테스트단기거주시설,F14042,(장애인) 장애인단기거주시설,장애인거주시설,자치구,단기거주,1100000000,서울특별시,봉천로1가길 1모던하우스101호,37.4865726,126.9097176,,